=== Period 1 (Wed, Mar 25 - Sun, Mar 29) ===
Rank|Team|Batting|Pitching|Total|Dif|Behind
Like a Nightmare|7|5.0|-0.5
Runtime Terror|6|4.0|-3.5
Long Balls|5|3.0|1.0
Magnum GI|4|2.0|-8.0
Trex|2|1.0|-6.5
Team|OBP|Pts|Dif
Dawg|.3953|13.0|2.0
Young Guns|.3627|12.0|0.0
Big Sticks|.3535|11.0|3.0
Gashouse Gang|.3467|10.0|4.0
Runtime Terror|.3333|9.0|-1.0
Simba's Dublin Green Sox|.3310|8.0|6.0
Maga Doge|.3309|7.0|4.0
Long Balls|.3219|6.0|-1.0
Like a Nightmare|.3201|5.0|4.0
Trex|.3171|4.0|-5.0
Guillotine|.3110|3.0|-1.0
Rieken Havoc|.3015|2.0|-3.0
Magnum GI|.2982|1.0|-12.0
Team|R|Pts|Dif
Young Guns|46|13.0|0.0
Runtime Terror|42|12.0|1.0
Like a Nightmare|39|11.0|9.0
Maga Doge|38|10.0|6.0
Guillotine|36|9.0|4.0
Gashouse Gang|35|8.0|-1.5
Dawg|34|6.5|-3.0
Trex|34|6.5|-1.5
Simba's Dublin Green Sox|32|5.0|4.0
Big Sticks|31|3.5|-3.5
Long Balls|31|3.5|0.5
Magnum GI|27|1.5|-10.5
Rieken Havoc|27|1.5|-4.5
Team|RBI|Pts|Dif
Dawg|45|13.0|10.0
Maga Doge|42|11.5|3.5
Big Sticks|42|11.5|5.0
Guillotine|40|10.0|9.0
Simba's Dublin Green Sox|38|9.0|4.0
Young Guns|33|7.5|-2.0
Gashouse Gang|33|7.5|-3.5
Like a Nightmare|29|5.5|3.5
Rieken Havoc|29|5.5|-1.0
Magnum GI|28|4.0|-8.0
Runtime Terror|27|3.0|-10.0
Long Balls|24|2.0|-2.0
Trex|23|1.0|-8.5
Team|SB|Pts|Dif
Maga Doge|13|13.0|5.5
Big Sticks|12|11.5|1.0
Runtime Terror|12|11.5|6.5
Dawg|8|8.5|-2.0
Young Guns|8|8.5|6.5
Rieken Havoc|8|8.5|-2.0
Long Balls|8|8.5|5.5
Guillotine|7|5.0|-5.5
Simba's Dublin Green Sox|7|5.0|0.0
Like a Nightmare|7|5.0|4.0
Gashouse Gang|5|2.5|-2.5
Magnum GI|5|2.5|-10.5
Trex|3|1.0|-6.5
Team|ERA|Pts|Dif
Maga Doge|2.331|13.0|10.0
Magnum GI|2.717|12.0|2.0
Guillotine|2.915|11.0|0.0
Dawg|2.925|10.0|4.0
Big Sticks|2.959|9.0|2.0
Gashouse Gang|3.197|8.0|7.0
Like a Nightmare|3.240|7.0|3.0
Simba's Dublin Green Sox|3.514|6.0|-3.0
Runtime Terror|4.796|5.0|0.0
Young Guns|4.956|4.0|2.0
